ACO,BMType,Count,RA_2000,Dec_2000,Redshift,Richness,D_class,Mag_10,GLON_2000,GLAT_2000
33,III,69,6.775,-19.5,,1,6,17.9,85.45571988491604,-80.54823608917152
34,I-II,98,6.799999999999999,-8.8,,2,6,18.0,104.44125131574266,-70.7965508119521
35,III,58,6.849999999999999,-21.666666666666668,,1,5,17.1,76.59230372123076,-82.2708638571056
36,III,84,6.8999999999999995,-12.783333333333333,,2,6,17.6,100.50728899136648,-74.60771080469422
37,II,66,6.974999999999999,-10.516666666666667,,1,6,18.0,103.35990557234189,-72.48798777578305
38,II:,69,7.099999999999999,13.916666666666666,,1,6,17.6,114.46585947469735,-48.57601465428163
39,III,56,7.074999999999999,-11.383333333333333,,1,6,18.0,102.76899547016347,-73.34275776375165
40,III,64,7.1499999999999995,16.383333333333333,,1,6,17.5,115.01484099385289,-46.13704769681435
41,II-III,153,7.199999999999999,7.833333333333333,.275,3,6,17.6,113.21994686161285,-54.61097171360597
42,I,154,7.1499999999999995,-23.633333333333333,.1087,3,5,17.1,65.79920402472452,-83.7705852050715
43,III:,37,7.224999999999999,17.566666666666666,.1114,0,4,15.9,115.32879752559295,-44.972101495335565
44,II,60,7.3999999999999995,12.016666666666667,.0559,1,5,17.0,114.51982957540754,-50.49805353566382
45,III,104,7.449999999999999,-12.283333333333333,,2,6,17.8,103.01424676327227,-74.312317546999
46,II-III,78,7.549999999999999,-12.866666666666667,.150,1,6,17.6,102.67523620967482,-74.89687423967557
47,II,50,7.6499999999999995,-24.15,,1,6,17.5,64.16339207785991,-84.43976508933262
48,III,52,7.799999999999999,12.533333333333333,,1,6,17.6,115.22947518187716,-50.035504229605614
49,II,77,7.849999999999999,-11.416666666666666,,1,6,18.0,105.2868435555656,-73.59812941028835
50,II:,86,7.849999999999999,-22.216666666666665,,2,6,17.4,79.03292765722314,-83.3050185671588
51,,37,7.9,-23.65,,0,6,17.4,69.66874053794305,-84.32899861993482
52,III,76,7.949999999999999,-12.183333333333334,,1,6,18.0,104.85270699344981,-74.36168219523422
53,,33,8.149999999999999,-7.55,,0,5,17.2,109.21952118612846,-69.91863914723132
54,,49,8.425,26.733333333333334,,0,6,17.7,118.03731541055761,-35.96978017453796
55,,46,8.499999999999998,6.316666666666666,,0,5,17.2,115.10779952681014,-56.289943421789346
56,III,50,8.449999999999998,-7.783333333333333,,1,6,18.0,109.9305539304864,-70.20858098773012
57,III:,98,8.474999999999998,-8.9,,2,6,17.6,109.30198455887924,-71.3061584145139
58,III,51,8.499999999999998,-6.75,,1,5,17.2,110.65570571616715,-69.20507547214514
59,III,70,8.624999999999998,30.266666666666666,,1,6,17.5,118.59715652407066,-32.46247908527474
60,II-III:,94,8.75,30.016666666666666,,2,6,17.9,118.70227627875917,-32.720046782073716
61,III,61,8.699999999999998,-23.183333333333334,,1,6,17.7,78.36581675868094,-84.54775472557337
62,III,66,8.824999999999998,20.383333333333333,,1,5,17.1,117.81391330442798,-42.32798753597747
63,,33,8.974999999999998,49.68333333333333,,0,4,16.1,120.35246338141997,-13.110578011988977
64,II-III,73,9.124999999999998,18.9,,1,6,17.5,118.0318316956583,-43.82957755356648
65,III,93,9.225,19.066666666666666,,2,6,17.5,118.18059451976845,-43.67092102434528
66,,47,9.149999999999999,-5.166666666666667,,0,6,17.8,113.13185785468065,-67.75564287115773
67,II,86,9.25,19.25,,2,6,17.5,118.2327383211639,-43.48997358517398
68,II-III,52,9.25,9.133333333333333,,1,6,18.0,116.92376764179333,-53.56990199609084
69,II-III:,106,9.399999999999999,18.333333333333332,,2,5,17.1,118.33238228915303,-44.41479622349086
70,II-III:,50,9.324999999999998,-7.416666666666667,,1,6,17.5,112.63283251246938,-70.00520073926006
71,III,30,9.45,29.583333333333332,.0724,0,3,15.5,119.38855029675499,-33.194567161394396
72,,47,9.625,45.71666666666667,,0,4,16.3,120.56977801235787,-17.095733163634648
73,III,50,9.575,9.416666666666666,,1,6,18.0,117.50285096291776,-53.31653350251057
74,,49,9.724999999999998,-22.3,,0,4,15.9,91.73306528948304,-84.39541552714435
75,,42,9.95,21.25,.0626,0,3,15.5,119.30825374542866,-41.53984936889877
76,II-III,42,9.95,6.766666666666667,.0416,0,3,15.0,117.76195513278034,-55.98821290632758
77,I:,50,10.149999999999999,29.516666666666666,.0719,1,5,16.5,120.11096518190463,-33.29571086242218
78,II-III:,65,10.149999999999999,26.733333333333334,,1,6,17.9,119.93770014103995,-36.07539706803165
79,III,73,10.149999999999999,18.133333333333333,.0927,1,5,17.1,119.31067042993546,-44.66219692412424
80,III:,64,10.1,-24.666666666666668,,1,5,17.1,77.08054263416027,-86.50433324131511
81,,46,10.249999999999998,22.266666666666666,,0,6,17.7,119.7536768774093,-40.54065890166054
82,III:,125,10.349999999999998,25.4,,2,5,17.1,120.07749587359406,-37.41610780316204
83,,36,10.349999999999998,14.033333333333333,,0,6,17.8,119.23692018563808,-48.76638481578424
84,II:,76,10.45,21.4,.1030,1,6,17.6,119.94002056826187,-41.41575169025095
85,I,59,10.399999999999999,-9.333333333333334,.0518,1,4,15.7,115.03280803290946,-72.05403300510784
86,,31,10.625,-21.783333333333335,.0610,0,4,15.9,101.6252602036961,-84.28157599277785
87,III,50,10.749999999999998,-9.783333333333333,,1,5,16.6,115.98762089957144,-72.541214637547
88,III,58,10.724999999999998,-26.033333333333335,.1086,1,6,17.6,62.28942624529221,-87.79946271475114
89,III,37,10.774999999999999,-9.416666666666666,,0,5,16.6,116.19854925700398,-72.17932101169718
90,III,93,10.849999999999998,2.1666666666666665,,2,5,17.2,118.83355641703751,-60.64110282609912
91,II,55,10.8,-10.616666666666667,,1,6,17.6,115.8403345080819,-73.3748835310177
92,,46,10.924999999999999,20.65,,0,6,17.9,120.48867908122809,-42.18503640662066
93,,47,10.924999999999999,-18.45,,0,5,16.9,110.93113050486495,-81.14091080778532
94,,44,11.325,-2.3166666666666664,,0,5,17.2,119.28218118312597,-65.14490887379284
95,II-III:,52,11.475,-0.85,.1115,1,5,17.2,119.80760186807623,-63.68814775606569
96,I-II,61,11.599999999999998,39.5,.1344,1,6,17.4,121.87332197538615,-23.361392228052893
97,III,80,11.475,-23.15,,2,5,17.1,105.1466573868392,-85.82911424535358
98,II-III:,185,11.599999999999998,20.483333333333334,.105,3,5,16.9,121.33481762535322,-42.37279099529932
99,,40,11.699999999999998,-17.633333333333333,,0,5,17.1,116.26049825646876,-80.44494944609183
100,,40,11.825,-2.5,,0,6,17.7,120.4531532938575,-65.35183029679197
101,II:,90,11.899999999999999,-0.9,,2,5,17.2,120.76199984177528,-63.75557639448667
102,II-III,39,12.175,1.3666666666666667,.0632,0,3,15.4,121.49784821283004,-61.49745703048615
103,III,80,12.299999999999999,-5.833333333333333,,2,5,17.2,121.39965521512875,-68.69842257474154
104,II-III:,50,12.449999999999998,24.516666666666666,.0822,1,4,15.9,122.45683937034705,-38.35357001896593
105,II-III,59,12.374999999999998,-4.716666666666667,,1,5,17.2,121.6656586310341,-67.583649484401
106,,37,12.599999999999998,-11.666666666666666,,0,5,17.2,121.97879438800277,-74.53649341040163
107,III,59,12.574999999999998,-19.233333333333334,,1,5,17.1,120.97712613860615,-82.10076158374305
108,III,81,12.749999999999998,-6.533333333333333,,2,5,17.2,122.62271874762959,-69.40481800825032
109,III:,72,13.124999999999998,22.216666666666665,,1,6,17.7,123.25593420791802,-40.65441274388241
110,,46,13.2,6.116666666666666,,0,5,17.2,123.54951294909057,-56.75344757380311
111,III,140,13.2,-5.0,,3,5,17.2,123.83243134214193,-67.86936598343817
112,III,50,13.424999999999999,-0.7833333333333333,,1,5,17.2,124.20598662003762,-63.64948486248491
113,III,83,13.375,-4.6,,2,6,17.5,124.27291513847247,-67.46637829728694
114,,43,13.424999999999999,-21.666666666666668,.0566,0,4,15.9,128.43793383454354,-84.51421460912348
115,III,174,13.999999999999998,26.316666666666666,.1971,3,6,17.3,124.20442932262388,-36.54380882063357
116,,48,13.974999999999998,0.6333333333333333,.0665,0,4,15.7,125.32556417115407,-62.217674431564475
117,,40,13.999999999999998,-10.016666666666667,.0535,0,4,16.0,126.74435332514486,-72.8546353183146
118,III:,77,13.924999999999999,-26.4,,1,5,16.5,175.73959998816613,-88.80190538949914
119,II-III,69,14.099999999999998,-1.25,.0440,1,3,15.0,125.77162862262824,-64.09438470695032
120,III:,52,14.274999999999999,-16.4,,1,5,17.2,130.19208209736655,-79.19184833457868
121,III,67,14.374999999999998,-7.0,.1048,1,4,16.0,127.29615689040233,-69.82036248845047
122,I:,64,14.349999999999998,-26.266666666666666,,1,5,17.1,180.36478577294815,-88.413979341077
123,II:,72,14.599999999999998,-14.383333333333333,,1,5,17.2,130.53512873128108,-77.15218950703891
124,,94,14.849999999999998,42.36666666666667,,2,6,17.5,124.50173423781274,-20.480810956831345
125,III,66,15.024999999999999,14.266666666666667,.188,1,5,17.2,126.10335593813606,-48.55173411788616
126,I-II:,51,14.949999999999998,-14.2,,1,5,16.6,131.92565735386452,-76.92550186334879
127,II-III:,58,14.974999999999998,-23.45,,1,6,17.7,150.86625109196504,-85.85438945547307
128,,41,15.124999999999998,-12.95,,0,5,17.0,131.88290683527987,-75.66402096262514
129,II,103,15.249999999999996,-9.95,,2,6,17.8,130.86140217149892,-72.67436732750274
130,II-III,66,15.399999999999997,-0.13333333333333333,,1,5,17.2,128.51482462956895,-62.89487241082593
131,III,51,15.549999999999997,-14.766666666666667,,1,5,17.2,134.92934257718431,-77.38703032081831
132,,39,15.749999999999998,27.016666666666666,,0,6,17.7,126.1065122323907,-35.78380220597455
133,,47,15.65,-21.783333333333335,.0604,0,4,15.9,148.94200757708262,-84.08284157349219
134,,43,15.749999999999998,-2.5166666666666666,.0699,0,4,16.0,129.83891387142708,-65.23324222837896
135,III:,100,15.799999999999997,-22.566666666666666,,2,6,17.7,153.88807899426143,-84.71591797121143
136,I,99,16.025,25.066666666666666,.1569,2,6,17.5,126.55725996761595,-37.71593382020202
137,II-III,102,16.124999999999996,25.733333333333334,,2,6,17.5,126.61801104460902,-37.044909143992754
138,,146,16.325,43.1,,3,6,17.5,125.61896510604839,-19.699413025859766
139,,120,16.349999999999998,36.38333333333333,,2,6,17.5,126.06892704653865,-26.403356421701275
140,II:,182,16.124999999999996,-23.95,.152,3,6,17.5,166.48024406305098,-85.6665629946026
141,III,140,16.4,-24.583333333333332,.230,3,6,17.7,175.09914752974768,-85.92270137493375
142,III:,95,16.549999999999997,0.95,,2,6,18.0,130.73350126155714,-61.6979330635089
143,II-III,59,16.674999999999997,26.233333333333334,,1,6,17.5,127.19100346301683,-36.51216862449689
144,II,63,16.575,-20.85,,1,6,17.9,152.1086033943249,-82.86413261712248
145,II,82,16.674999999999997,-2.4333333333333336,,2,6,17.6,131.9953831816625,-65.03616058435131
146,I,70,16.874999999999996,-11.233333333333333,,1,6,17.6,137.06522418171684,-73.662754356925
147,III,32,17.049999999999997,2.15,.0438,0,3,15.0,131.44509210592418,-60.44438699135371
148,III,52,16.999999999999996,-13.166666666666666,,1,5,17.2,139.25191974387536,-75.51104151637973
149,,98,17.349999999999998,43.583333333333336,,2,6,17.5,126.37420931991035,-19.1683275974339
