,RAhour,DEdeg,radius,d
162,2.4945,51.895,0.09,4000.0
163,2.4955,58.1,0.135,1417.0
164,2.5115,51.805,0.18,2200.0
165,2.519,72.48,0.13,2375.0
166,2.533,44.58,0.14,2613.0
167,2.5455,61.455,0.27,1700.0
168,2.5503,58.768,0.09,1410.0
169,2.5585,57.573,0.29,1900.0
170,2.559,59.875,0.09,1900.0
171,2.565,60.18,0.09,2500.0
172,2.5805,62.588,0.09,1900.0
173,2.6015,59.025,0.18,2801.0
174,2.6096,59.634,0.13,1500.0
175,2.6245,55.95,0.44,670.0
176,2.6255,56.405,0.165,1000.0
177,2.65,60.4,0.11,2501.0
178,2.6562,54.913,0.125,2000.0
179,2.7033,42.79,0.73,510.0
180,2.708,56.735,0.13,2787.0
181,2.711,61.62,0.235,950.0
182,2.7409,62.318,0.1,4101.0
183,2.783,57.745,0.21,2901.0
184,2.7945,61.973,0.11,1600.0
185,2.8465,60.65,0.07,12998.0
186,2.8518,60.41,0.27,1500.0
187,2.8615,69.245,0.11,5200.0
188,2.9085,62.525,0.215,2056.0
189,2.921,60.6,0.07,2028.0
190,2.9351,68.825,0.14,930.0
191,2.988,62.3,0.32,2273.0
192,2.9877,60.3,0.24,1100.0
193,2.991,60.55,0.115,1000.0
194,3.0065,57.285,0.135,2300.0
195,3.0218,60.503,0.09,3465.0
196,3.0677,58.74,0.115,7002.0
197,3.098,44.38,0.08,6000.0
198,3.17,64.28,0.09,1900.0
199,3.18,-57.76,0.25,944.0
200,3.1948,53.347,0.085,2100.0
201,3.2035,63.15,0.47,620.0
202,3.2045,-55.216,0.145,16298.0
203,3.2467,47.253,0.37,3000.0
204,3.2462,52.697,0.225,2200.0
205,3.282,60.015,0.28,450.0
206,3.2845,58.605,0.07,2200.0
207,3.339,60.26,0.07,1933.0
208,3.3867,52.233,0.075,2500.0
209,3.3867,60.55,0.1,5001.0
210,3.445,48.8,6.1,175.0
211,3.451,35.03,0.53,700.0
212,3.4675,56.465,0.26,632.0
213,3.468,-35.87,3.18,112.0
214,3.482,31.37,0.57,324.0
215,3.5195,52.632,0.145,2700.0
216,3.5336,37.357,0.275,665.0
217,3.538,44.84,0.41,837.0
218,3.543,59.21,0.155,1037.0
219,3.5442,52.65,0.13,1550.0
220,3.557,36.826,0.115,1800.0
221,3.57,51.4,0.11,1800.0
222,3.66,66.49,0.235,2201.0
223,3.679,82.22,0.08,2600.0
224,3.673,59.43,0.1,2301.0
225,3.689,34.655,0.135,1600.0
226,3.7435,32.15,0.26,480.0
227,3.789,53.902,0.09,3000.0
228,3.767,24.37,6.2,130.0
229,3.801,59.07,0.27,1350.0
230,3.8505,35.1,3.2,400.0
231,3.8233,52.64,0.1,1300.0
232,3.8737,61.96,0.07,2900.0
233,3.9225,58.4,0.07,3971.0
234,3.9267,54.017,0.07,4000.0
235,3.9362,53.877,0.09,1742.0
236,3.9522,32.021,0.12,1685.0
237,3.9645,-76.8,0.13,1023.0
238,3.981,53.64,0.18,1400.0
239,3.9852,51.782,0.35,2628.0
240,3.9857,57.24,0.06,4299.0
241,4.013,56.45,0.66,2801.0
242,4.0385,52.45,0.065,3000.0
243,4.041,51.917,0.1,3213.0
244,4.051,41.303,0.14,1705.0
245,4.0637,55.419,0.07,7317.0
246,4.074,52.645,0.065,1300.0
247,4.097,39.2,0.115,1786.0
248,4.103,51.91,0.085,1700.0
249,4.1005,40.168,0.13,1520.0
250,4.11,39.135,0.095,1963.0
251,4.1205,51.167,0.075,1818.0
252,4.1305,62.331,0.3,1023.0
253,4.1647,26.57,0.1,1900.0
254,4.1617,49.51,0.155,1400.0
255,4.1735,39.25,0.11,1379.0
256,4.1805,46.868,0.11,2812.0
257,4.2063,48.728,0.13,3400.0
258,4.219,-70.465,0.22,1820.0
259,4.2425,28.49,0.55,1306.0
260,4.2565,51.19,0.45,950.0
261,4.2805,41.075,0.07,3918.0
262,4.2995,26.211,0.17,2100.0
263,4.3036,38.145,0.14,2200.0
264,4.3105,52.86,0.13,4400.0
265,4.3115,41.526,0.115,1600.0
266,4.316,58.25,0.22,3000.0
267,4.3292,53.175,0.075,2100.0
268,4.341,44.915,0.165,1964.0
269,4.353,50.252,0.13,863.0
270,4.3555,36.92,0.13,2501.0
271,4.3617,27.235,0.125,2500.0
272,4.3745,51.855,0.1,3501.0
273,4.3915,33.555,0.1,4000.0
274,4.4036,29.715,0.105,2702.0
275,4.431,46.095,0.18,1073.0
276,4.4486,73.38,0.11,2499.0
277,4.4638,30.945,0.14,1263.0
278,4.4537,25.965,0.2,2800.0
279,4.4944,26.005,0.09,3000.0
280,4.498,38.5,0.16,1816.0
281,4.5031,35.279,0.42,730.0
282,4.525,43.79,0.41,1000.0
283,4.5765,21.675,0.135,2025.0
284,4.582,45.275,0.115,2600.0
285,4.63,71.47,2.25,170.0
286,4.5905,-65.74,0.26,985.0
287,4.5938,36.098,0.19,2100.0
288,4.606,51.18,0.135,6408.0
289,4.609,22.035,0.12,2050.0
290,4.63,50.775,0.155,2000.0
291,4.662,29.745,0.13,2289.0
292,4.6772,50.451,0.1,5466.0
293,4.713,41.917,0.11,1819.0
294,4.7374,41.803,0.095,3500.0
295,4.741,42.1,0.165,1800.0
296,4.7405,42.69,0.17,3300.0
297,4.7463,41.505,0.11,3103.0
298,4.753,39.76,0.11,1500.0
299,4.7665,19.17,0.75,572.0
300,4.769,42.13,0.08,1700.0
301,4.7683,31.382,0.115,27198.0
302,4.771,55.255,0.335,520.0
303,4.7706,41.976,0.14,3662.0
304,4.7758,44.739,0.08,2800.0
305,4.794,31.55,0.165,3423.0
306,4.8075,10.925,0.485,437.0
307,4.821,13.17,0.285,1490.0
308,4.8321,41.719,0.22,600.0
309,4.8431,38.134,0.08,1250.0
310,4.8539,43.66,0.31,1200.0
311,4.8592,45.735,0.07,2501.0
312,4.873,35.95,0.13,3000.0
313,4.9003,40.84,0.13,2700.0
314,4.9,20.255,0.15,2550.0
315,4.9185,65.555,0.12,3001.0
316,4.9288,36.783,0.17,3001.0
317,4.9295,52.815,0.1,2800.0
318,4.9518,28.781,0.19,2499.0
319,4.9692,43.007,0.15,3000.0
320,4.9903,23.804,0.115,1600.0
321,4.991,37.965,0.155,1250.0
322,4.9964,43.485,0.165,5460.0
323,5.0105,43.565,0.46,1100.0
324,5.0195,35.793,0.115,3801.0
325,5.031,44.13,0.115,2501.0
326,5.0352,44.512,0.135,1300.0
327,5.036,36.766,0.14,3001.0
328,5.0445,42.54,0.12,2710.0
329,5.049,50.1,0.14,1711.0
330,5.0555,42.39,0.13,1532.0
331,5.0573,52.865,0.24,630.0
332,5.0565,49.49,0.13,2200.0
333,5.063,32.165,0.14,1705.0
334,5.076,23.83,0.6,800.0
335,5.1057,21.527,0.14,2428.0
336,5.1055,39.165,0.14,1150.0
337,5.1145,22.573,0.66,275.0
338,5.121,38.41,0.085,3720.0
339,5.1199,30.85,0.1,5151.0
340,5.1367,27.535,0.16,2500.0
341,5.133,37.028,0.17,1500.0
342,5.1378,49.873,0.09,3900.0
343,5.14,39.08,0.125,3000.0
344,5.144,53.22,0.105,1522.0
345,5.161,8.595,0.2,2882.0
346,5.1655,38.815,0.075,4001.0
347,5.1685,24.18,0.19,2100.0
348,5.1802,16.522,0.18,2812.0
349,5.1828,30.205,0.11,4598.0
350,5.1858,45.715,0.115,4500.0
351,5.194,47.695,0.155,5247.0
352,5.2055,16.68,0.26,1504.0
353,5.23,44.595,0.68,800.0
354,5.2242,37.438,0.12,2238.0
355,5.2264,9.68,0.14,1649.0
356,5.2355,-40.043,0.225,12097.0
357,5.244,19.815,0.18,1092.0
358,5.2433,32.66,0.15,868.0
359,5.257,58.205,0.15,2007.0
360,5.266,-45.24,0.12,2180.0
361,5.2677,47.613,0.115,2390.0
362,5.2765,45.605,0.165,2991.0
363,5.292,4.418,0.11,2220.0
364,5.3038,37.557,0.1,3497.0
365,5.304,-68.44,0.335,406.0
366,5.307,70.895,0.14,1879.0
367,5.3115,37.63,0.115,2700.0
368,5.3095,19.12,0.125,2056.0
369,5.3275,36.5,0.075,5441.0
370,5.3343,39.29,0.165,3299.0
371,5.335,-26.033,0.1,2856.0
372,5.34,35.18,0.175,1100.0
373,5.341,39.54,0.25,2000.0
374,5.3437,30.59,0.22,1800.0
375,5.3735,45.405,0.275,5800.0
376,5.3755,7.16,0.145,1031.0
377,5.3745,36.565,0.165,1400.0
378,5.3805,33.43,0.28,3300.0
379,5.3718,41.025,0.235,1472.0
380,5.3878,18.746,0.125,2070.0
381,5.3952,8.16,0.125,1710.0
382,5.398,11.49,0.16,1371.0
383,5.399,42.323,0.125,1523.0
384,5.4002,29.567,0.09,4800.0
385,5.4031,-24.52,0.205,12892.0
386,5.4037,33.477,0.125,4001.0
387,5.4075,5.476,0.16,2795.0
388,5.4025,1.64,0.66,397.0
389,5.4065,32.608,0.205,2799.0
390,5.4155,18.31,0.14,2304.0
391,5.422,30.182,0.195,1850.0
392,5.4256,11.593,0.19,1633.0
393,5.4283,34.957,0.14,1300.0
394,5.4276,29.26,0.125,2600.0
395,5.4294,41.93,0.155,5001.0
396,5.4313,46.49,0.15,5752.0
397,5.435,15.67,1.5,325.0
398,5.4375,0.9,0.44,313.0
399,5.4405,50.79,0.135,3200.0
400,5.4455,36.015,0.25,4301.0
401,5.4335,6.33,2.2,95.0
402,5.4589,7.075,0.17,2376.0
403,5.4603,34.748,0.13,1173.0
404,5.4615,-1.965,0.52,314.0
405,5.4625,33.785,0.125,797.0
406,5.4667,16.915,0.2,1887.0
407,5.4672,40.352,0.19,550.0
408,5.468,35.325,0.21,1600.0
409,5.469,34.424,0.28,1731.0
410,5.4725,34.785,0.1,1919.0
411,5.4793,1.64,0.725,394.0
412,5.481,35.8,0.39,1144.0
413,5.484,3.56,0.85,379.0
414,5.4854,44.77,0.14,1800.0
415,5.4913,13.36,0.115,2710.0
416,5.504,38.207,0.105,4200.0
417,5.523,34.233,0.16,3001.0
418,5.5352,41.618,0.12,2300.0
419,5.5353,-3.035,0.085,2127.0
420,5.5325,12.41,0.32,772.0
421,5.536,-36.38,0.17,1703.0
422,5.5387,17.178,0.195,2711.0
423,5.5405,0.53,0.15,1934.0
424,5.5436,0.183,0.145,8399.0
425,5.556,39.833,0.165,3741.0
426,5.5595,26.469,0.06,2241.0
427,5.5731,25.563,0.13,3816.0
428,5.5831,17.268,0.15,1685.0
429,5.585,-4.42,0.22,388.0
430,5.589,9.83,0.535,411.0
431,5.5885,-5.36,0.435,458.0
432,5.591,-5.915,0.23,520.0
433,5.5925,-4.83,0.235,358.0
434,5.5965,-0.88,0.88,379.0
435,5.5973,25.95,0.155,1658.0
436,5.6052,-3.28,0.165,2325.0
437,5.6055,34.158,0.26,1200.0
438,5.6075,-6.42,0.23,314.0
439,5.6107,31.84,0.165,1750.0
440,5.6133,31.2,0.14,1600.0
441,5.6285,31.305,0.075,2153.0
442,5.6317,-6.956,0.095,636.0
443,5.6365,25.75,0.2,2056.0
444,5.6355,31.74,0.11,2801.0
445,5.6455,-2.6,0.4,390.0
446,5.6457,30.723,0.1,1715.0
447,5.654,37.805,0.415,500.0
448,5.6555,31.516,0.12,2220.0
449,5.6576,30.903,0.115,1359.0
450,5.6592,33.358,0.077,2500.0
451,5.6687,11.46,0.14,2035.0
452,5.6785,35.92,0.14,2307.0
453,5.6815,35.707,0.14,2152.0
454,5.6825,32.266,0.135,3260.0
455,5.6828,20.356,0.118,912.0
456,5.69,39.238,0.075,3601.0
457,5.6925,35.861,0.185,1110.0
458,5.698,29.92,0.155,1213.0
459,5.699,-5.295,0.165,1241.0
460,5.7045,33.66,0.155,2473.0
461,5.708,-8.15,0.41,497.0
462,5.7097,29.548,0.1,1100.0
463,5.71,30.973,0.095,2999.0
464,5.7147,28.957,0.12,2100.0
465,5.7183,20.145,0.125,1226.0
466,5.7281,9.095,0.55,612.0
467,5.7312,21.705,0.115,1750.0
468,5.7405,28.825,0.16,2600.0
469,5.752,24.738,0.145,1836.0
470,5.77,8.675,0.18,2241.0
471,5.7785,0.1,0.14,747.0
472,5.7861,0.3,0.14,953.0
473,5.7889,30.6,0.115,2600.0
474,5.79,-6.865,0.22,1656.0
475,5.7917,35.419,0.085,1819.0
476,5.7965,21.95,0.15,3102.0
477,5.8005,5.395,0.14,2143.0
478,5.8167,30.205,0.12,2801.0
479,5.8098,7.38,0.18,2637.0
480,5.814,26.365,0.155,1881.0
481,5.8218,33.63,0.12,4500.0
482,5.835,28.9,0.14,2449.0
483,5.837,23.878,0.07,4857.0
484,5.8385,22.24,0.095,3753.0
485,5.8545,25.77,0.11,1063.0
486,5.8615,-12.22,0.13,2268.0
487,5.863,21.815,0.11,5716.0
488,5.868,27.378,0.12,1863.0
489,5.8702,26.958,0.1,2186.0
490,5.8715,29.897,0.165,3000.0
491,5.8725,32.57,0.485,1400.0
492,5.8705,54.19,0.095,2201.0
493,5.8915,25.173,0.17,2149.0
494,5.8955,0.413,0.62,977.0
495,5.8973,26.83,0.12,3787.0
496,5.922,-59.92,0.245,1003.0
497,5.924,20.885,0.17,5041.0
498,5.9708,21.99,0.18,1318.0
499,5.97,16.525,0.075,8885.0
500,5.9754,7.757,0.095,5493.0
501,6.0105,-10.64,0.17,1579.0
502,6.0174,35.277,0.155,1900.0
503,6.0184,23.34,0.14,1651.0
504,6.0208,-6.085,0.18,1661.0
505,6.0432,49.872,0.225,1100.0
506,6.0435,-12.018,0.145,4432.0
507,6.0485,10.46,0.19,4364.0
508,6.0533,5.745,0.195,1490.0
509,6.0675,30.27,0.125,2254.0
510,6.0682,20.28,0.14,2886.0
511,6.0695,-20.159,0.205,1893.0
512,6.072,22.003,0.13,2977.0
513,6.0733,15.42,0.13,3145.0
514,6.074,14.562,0.13,1508.0
515,6.081,-29.185,0.115,1077.0
516,6.0805,24.07,0.09,2311.0
517,6.0835,-26.733,0.155,981.0
518,6.0847,16.1,0.22,3616.0
519,6.09,30.793,0.115,2088.0
520,6.088,16.675,0.16,1810.0
521,6.0925,14.552,0.155,1875.0
522,6.0997,13.66,0.165,2082.0
523,6.1077,19.227,0.155,3465.0
524,6.1175,19.022,0.095,1427.0
525,6.1197,-6.065,0.155,799.0
526,6.1238,24.092,0.25,4770.0
527,6.1255,19.095,0.13,1633.0
528,6.1298,29.64,0.18,1254.0
529,6.1298,18.775,0.11,1202.0
530,6.137,-9.58,0.16,1068.0
531,6.14,13.99,0.22,1032.0
532,6.139,-11.5,0.14,1892.0
533,6.1458,24.317,0.055,2839.0
534,6.148,-8.947,0.095,2025.0
535,6.1487,26.26,0.11,2982.0
536,6.1535,24.36,0.98,830.0
537,6.1528,25.68,0.105,2127.0
538,6.152,4.585,0.18,2973.0
539,6.1553,31.223,0.085,2710.0
540,6.1558,20.66,0.085,2109.0
541,6.245,-22.5,2.07,272.0
542,6.1615,20.505,0.15,1636.0
543,6.1625,4.805,0.11,1882.0
544,6.164,12.345,0.14,2120.0
