,RAhour,DEdeg,radius,d
709,6.786,1.965,0.12,2910.0
710,6.7922,0.03,0.12,2204.0
711,6.7942,-3.155,0.195,1964.0
712,6.805,41.08,0.405,500.0
713,6.816,-10.51,0.17,4591.0
714,6.814,0.38,0.1,2778.0
715,6.8165,-36.005,0.115,10815.0
716,6.8176,-23.985,0.095,6273.0
717,6.8365,5.755,0.085,2724.0
718,6.8405,7.25,0.16,981.0
719,6.839,-5.47,0.11,2220.0
720,6.8417,6.6,0.085,2095.0
721,6.8442,-42.383,0.11,2057.0
722,6.856,5.763,0.1,5042.0
723,6.863,0.465,0.26,805.0
724,6.8645,-7.08,0.17,1310.0
725,6.869,2.91,0.12,1964.0
726,6.869,3.655,0.165,1180.0
727,6.8725,2.19,0.11,3511.0
728,6.8747,-13.235,0.11,3361.0
729,6.8747,-23.658,0.13,3969.0
730,6.8873,-0.19,0.1,1429.0
731,6.884,16.93,0.11,10797.0
732,6.899,-4.39,0.24,1159.0
733,6.9015,-13.555,0.075,2304.0
734,6.905,-0.15,0.27,946.0
735,6.901,6.725,0.125,1905.0
736,6.9055,-1.69,0.21,826.0
737,6.907,-7.205,0.22,1249.0
738,6.9083,-13.658,0.105,1634.0
739,6.9095,-4.53,0.085,1791.0
740,6.9113,-26.795,0.18,2237.0
741,6.9095,-24.325,0.475,1096.0
742,6.92,17.98,0.15,3896.0
743,6.9206,-18.6,0.085,4712.0
744,6.921,29.73,0.18,1664.0
745,6.9272,-11.03,0.11,2290.0
746,6.93,0.222,0.095,3239.0
747,6.932,-13.28,0.08,5919.0
748,6.9347,-7.175,0.21,2384.0
749,6.9442,30.478,0.115,2695.0
750,6.9505,-6.215,0.15,814.0
751,6.953,-8.19,0.125,2173.0
752,6.9544,-6.637,0.13,1737.0
753,6.9597,8.298,0.11,6242.0
754,6.964,-13.22,0.125,4785.0
755,6.9633,3.217,0.13,4983.0
756,6.963,-4.61,0.235,2221.0
757,6.9652,-8.745,0.1,1296.0
758,6.9685,6.435,0.125,4996.0
759,6.971,0.884,0.15,1753.0
760,6.977,-4.335,0.26,2120.0
761,6.978,-9.165,0.1,1614.0
762,6.9789,-3.685,0.1,6091.0
763,6.9795,-4.93,0.135,1881.0
764,6.98,10.28,0.11,2436.0
765,6.988,-12.95,0.165,3150.0
766,6.988,-3.97,0.15,1943.0
767,6.989,-9.083,0.09,1706.0
768,6.9913,-13.662,0.125,1713.0
769,6.9935,-11.974,0.1,5374.0
770,6.9935,-4.667,0.06,3344.0
771,6.994,-4.86,0.075,2661.0
772,6.9955,-4.067,0.11,2839.0
773,7.003,-10.323,0.085,4933.0
774,7.0063,-5.83,0.17,1952.0
775,7.006,-0.235,0.11,7279.0
776,7.0083,-20.565,0.2,2642.0
777,7.0105,-8.84,0.155,2025.0
778,7.009,35.07,0.195,1155.0
779,7.0114,3.035,0.165,985.0
780,7.018,3.53,0.17,747.0
781,7.0227,-3.117,0.16,2830.0
782,7.0292,-13.56,0.115,2190.0
783,7.035,-26.56,0.325,767.0
784,7.0353,-21.917,0.125,3434.0
785,7.0417,-1.117,0.1,2610.0
786,7.0453,-8.37,0.46,902.0
787,7.0445,-11.435,0.11,6017.0
788,7.0475,-9.255,0.17,1905.0
789,7.051,-67.39,0.16,1076.0
790,7.0514,-20.815,0.09,6565.0
791,7.0625,-25.055,0.52,704.0
792,7.052,6.413,0.085,4338.0
793,7.058,-5.005,0.155,2151.0
794,7.068,-11.53,0.25,1570.0
795,7.0685,-6.13,0.11,1925.0
796,7.0665,-6.385,0.11,2972.0
797,7.0695,1.038,0.275,3842.0
798,7.066,-0.085,0.12,1923.0
799,7.0707,-19.744,0.145,7154.0
800,7.073,-12.005,0.185,1184.0
801,7.0769,-6.6,0.1,5664.0
802,7.0885,-12.325,0.15,1401.0
803,7.09,-10.68,0.14,2375.0
804,7.0972,-11.625,0.17,2821.0
805,7.0995,-28.41,0.14,1789.0
806,7.1015,-14.995,0.155,4458.0
807,7.1055,-30.16,0.145,1786.0
808,7.1035,7.4,0.11,2605.0
809,7.105,-12.57,0.135,1188.0
810,7.1077,-20.095,0.125,2345.0
811,7.111,-11.73,0.16,2360.0
812,7.114,-10.03,0.31,1411.0
813,7.114,-10.52,0.175,5410.0
814,7.1156,-10.72,0.095,1037.0
815,7.112,27.255,0.14,1946.0
816,7.1178,-13.82,0.17,2964.0
817,7.1195,-28.222,0.232,2221.0
818,7.1228,-20.795,0.1,1958.0
819,7.1228,-15.98,0.2,2255.0
820,7.123,-12.783,0.115,2436.0
821,7.125,-8.865,0.15,2276.0
822,7.1255,-13.33,0.18,1928.0
823,7.127,30.17,0.125,2413.0
824,7.13,-5.717,0.09,1671.0
825,7.1273,-14.15,0.115,1780.0
826,7.1335,-25.88,0.18,2276.0
827,7.133,-12.464,0.17,1297.0
828,7.135,-1.528,0.125,1544.0
829,7.1345,-10.6,0.205,1029.0
830,7.1375,-13.2,0.225,2605.0
831,7.1382,-12.89,0.14,1706.0
832,7.141,-15.365,0.2,1721.0
833,7.1425,-26.158,0.16,1791.0
834,7.1458,-9.427,0.11,2883.0
835,7.1525,-1.5,0.11,5805.0
836,7.1582,-16.92,0.22,1000.0
837,7.1656,2.733,0.12,5012.0
838,7.1719,-18.486,0.1,3360.0
839,7.177,6.08,0.205,477.0
840,7.173,-8.395,0.115,7241.0
841,7.18,-6.78,0.16,1864.0
842,7.178,-9.3,0.32,596.0
843,7.1785,-8.605,0.145,1819.0
844,7.186,-7.117,0.135,1031.0
845,7.1935,1.605,0.15,1952.0
846,7.2115,2.105,0.235,787.0
847,7.2147,-25.231,0.19,1847.0
848,7.2181,-24.029,0.14,3000.0
849,7.2226,-9.892,0.19,1634.0
850,7.224,3.148,0.175,1031.0
851,7.2255,-10.48,0.1,5841.0
852,7.224,-30.975,0.31,330.0
853,7.2357,-25.693,0.135,2865.0
854,7.2395,-5.66,0.145,3095.0
855,7.241,-34.305,0.14,1298.0
856,7.2417,-21.123,0.25,813.0
857,7.2418,-10.25,0.22,1180.0
858,7.247,-34.877,0.1,2173.0
859,7.2477,-31.36,0.09,4023.0
860,7.2615,-9.41,0.155,1000.0
861,7.2722,-13.178,0.145,5041.0
862,7.27,-46.617,0.44,311.0
863,7.2835,-17.155,0.3,739.0
864,7.2831,13.75,0.19,2128.0
865,7.284,-35.29,0.07,3027.0
866,7.2852,-13.982,0.21,1537.0
867,7.2865,-15.795,0.125,4186.0
868,7.295,-15.64,0.3,1560.0
869,7.299,-37.035,0.52,361.0
870,7.3005,-28.99,0.125,3066.0
871,7.2995,-22.667,0.17,2069.0
872,7.301,-24.5,0.16,1571.0
873,7.305,-44.67,0.115,4640.0
874,7.3073,-17.575,0.11,3369.0
875,7.312,-24.96,0.26,1375.0
876,7.3186,-22.02,0.13,3930.0
877,7.3255,-19.63,0.135,2362.0
878,7.333,-24.53,0.125,1935.0
879,7.3343,-13.15,0.135,3320.0
880,7.337,-21.865,0.19,1772.0
881,7.337,-27.771,0.112,3497.0
882,7.3385,-0.994,0.125,4815.0
883,7.3475,-0.844,0.14,2089.0
884,7.3475,-19.632,0.135,1023.0
885,7.3489,1.8,0.09,13719.0
886,7.3515,-10.335,0.125,4889.0
887,7.3545,-20.22,0.142,2928.0
888,7.3575,-3.233,0.155,4699.0
889,7.3631,-0.983,0.14,3211.0
890,7.3635,22.5,0.13,4755.0
891,7.3675,3.58,0.13,1775.0
892,7.377,-5.115,0.09,926.0
893,7.376,-18.7,0.15,1899.0
894,7.38,-59.199,0.175,1055.0
895,7.3822,-29.49,0.155,1893.0
896,7.386,-19.473,0.1,1701.0
897,7.402,-31.89,0.49,386.0
898,7.3862,-12.308,0.16,1197.0
899,7.3937,-53.947,0.205,1631.0
900,7.3938,-23.185,0.105,1263.0
901,7.395,5.366,0.132,4670.0
902,7.3989,-25.359,0.08,962.0
903,7.4,-13.27,0.22,1394.0
904,7.3995,-25.9,0.13,3654.0
905,7.4039,-24.633,0.1,2434.0
906,7.4092,-2.884,0.115,1964.0
907,7.412,-26.21,0.125,1499.0
908,7.4115,-20.94,0.125,1655.0
909,7.4117,-17.0,0.095,1797.0
910,7.415,-23.871,0.11,4192.0
911,7.419,-21.02,0.165,2074.0
912,7.4185,-2.9,0.095,1905.0
913,7.4305,-21.563,0.115,1797.0
914,7.435,-21.205,0.155,1607.0
915,7.4355,-15.093,0.21,2932.0
916,7.438,-18.445,0.205,2283.0
917,7.4367,-47.668,0.205,4487.0
918,7.4405,-24.19,0.155,2839.0
919,7.4428,-28.8,0.115,1871.0
920,7.449,-31.155,0.18,3894.0
921,7.45,-37.525,0.1,4317.0
922,7.45,-5.545,0.245,569.0
923,7.4516,13.584,0.14,1209.0
924,7.455,-23.96,0.18,1659.0
925,7.4608,-20.306,0.09,8570.0
926,7.4685,-11.74,0.2,545.0
927,7.4675,-21.79,0.19,4541.0
928,7.4728,-15.405,0.085,2879.0
929,7.474,-19.68,0.14,1409.0
930,7.4763,-15.365,0.135,4873.0
931,7.4785,-20.81,0.125,1905.0
932,7.4825,-18.315,0.102,1708.0
933,7.4883,-29.183,0.09,1609.0
934,7.4901,-13.972,0.09,3778.0
935,7.4895,-47.854,0.115,2290.0
936,7.4995,-19.1,0.11,4152.0
937,7.502,-18.535,0.125,2731.0
938,7.5013,11.885,0.21,2070.0
939,7.51,-23.383,0.14,3021.0
940,7.5108,-15.303,0.125,4141.0
941,7.518,-16.915,0.085,1775.0
942,7.5197,-15.428,0.115,1706.0
943,7.5198,-9.94,0.1,6812.0
944,7.527,-17.19,0.19,870.0
945,7.5295,-19.375,0.085,4389.0
946,7.532,-13.835,0.125,4500.0
947,7.532,-12.765,0.17,1706.0
948,7.5477,-13.745,0.105,2901.0
949,7.5545,-22.95,0.26,1609.0
950,7.551,-12.99,0.185,1341.0
951,7.5525,-15.455,0.14,2874.0
952,7.557,-28.19,0.11,2057.0
953,7.5577,-20.51,0.075,1836.0
954,7.561,-13.765,0.155,3113.0
955,7.5625,-19.811,0.105,1215.0
956,7.573,-26.325,0.155,2262.0
957,7.5753,-15.935,0.13,4336.0
958,7.5775,-19.8,0.11,1998.0
959,7.59,-15.092,0.1,4697.0
960,7.5905,-22.395,0.125,2362.0
961,7.5897,-27.705,0.1,5157.0
962,7.5923,-18.765,0.125,2549.0
963,7.5956,-19.779,0.1,974.0
964,7.604,-20.61,0.16,2178.0
965,7.611,-14.49,0.63,471.0
966,7.6131,-24.662,0.06,2706.0
967,7.613,-23.355,0.1,3585.0
968,7.6173,-20.525,0.11,2057.0
969,7.6175,-32.205,0.085,3978.0
970,7.6185,-13.85,0.45,824.0
971,7.6195,-26.385,0.075,6287.0
972,7.6195,-15.66,0.21,1456.0
973,7.6282,-26.507,0.235,576.0
974,7.626,-12.055,0.34,2473.0
975,7.6357,38.882,0.12,82535.0
976,7.6375,-14.88,0.16,4330.0
977,7.6397,21.567,0.305,2880.0
978,7.6413,-10.7,0.22,3963.0
979,7.6451,-33.835,0.115,13338.0
980,7.6555,-31.74,0.095,2597.0
981,7.6555,-16.518,0.125,1406.0
982,7.6611,-16.38,0.15,707.0
983,7.66,-30.935,0.155,4712.0
984,7.6615,-27.295,0.135,1400.0
985,7.6695,-33.54,0.085,2420.0
986,7.6695,-2.085,0.13,1824.0
987,7.6745,-30.043,0.325,714.0
988,7.68,-31.705,0.27,3834.0
989,7.6856,-30.72,0.13,1606.0
990,7.689,-38.52,1.3,188.0
991,7.688,-16.29,0.15,1490.0
992,7.6817,-19.085,0.16,1589.0
993,7.6883,-24.355,0.11,2312.0
994,7.692,-9.61,0.155,4332.0
995,7.697,-14.805,0.57,1375.0
996,7.7035,-29.23,0.09,4712.0
997,7.7069,-31.467,0.11,2134.0
998,7.7086,-1.037,0.165,1292.0
999,7.7165,-35.593,0.11,541.0
1000,7.7285,-11.03,0.17,1410.0
1001,7.7281,-8.02,0.165,1935.0
1002,7.74,-34.627,0.165,1245.0
1003,7.741,-37.67,0.41,489.0
1004,7.7428,-24.665,0.18,1040.0
1005,7.743,-23.86,0.5,1037.0
1006,7.7425,-5.16,0.155,2398.0
1007,7.747,-28.38,0.16,2134.0
1008,7.7555,-25.545,0.093,4417.0
1009,7.7588,-32.848,0.145,2237.0
1010,7.7605,-46.71,0.105,1031.0
1011,7.7658,-20.385,0.125,893.0
1012,7.764,-34.34,0.115,1579.0
1013,7.7655,-21.92,0.13,1558.0
1014,7.7702,-31.283,0.105,3858.0
1015,7.7745,-34.28,0.13,1508.0
1016,7.7805,-4.68,0.15,4836.0
1017,7.783,0.02,0.26,397.0
1018,7.7852,-32.973,0.095,1268.0
1019,7.7935,-27.193,0.08,2383.0
1020,7.7967,-34.036,0.105,1608.0
1021,7.7985,8.88,0.18,2669.0
1022,7.7995,-33.7,0.13,2173.0
1023,7.8065,-26.29,0.09,1821.0
1024,7.8075,-27.9,0.07,2839.0
1025,7.811,-25.953,0.09,4244.0
1026,7.8117,-26.983,0.105,2255.0
1027,7.8112,-14.7,0.09,2428.0
1028,7.8172,-21.292,0.14,1711.0
1029,7.8233,-42.685,0.14,1278.0
1030,7.831,-17.225,0.08,5250.0
1031,7.8325,-14.021,0.11,1833.0
1032,7.8392,-25.457,0.075,2654.0
1033,7.8414,-20.185,0.12,2928.0
1034,7.8417,-29.845,0.16,3858.0
1035,7.8445,-36.39,0.11,2234.0
1036,7.8525,-22.11,0.085,2121.0
1037,7.8603,-31.817,0.13,2899.0
1038,7.8672,9.557,0.085,2376.0
1039,7.8686,-28.117,0.15,5165.0
1040,7.869,-38.53,0.45,1450.0
1041,7.87,-60.34,0.2,816.0
1042,7.868,12.173,0.15,2398.0
1043,7.8704,-33.04,0.11,1436.0
1044,7.8718,-26.428,0.095,1313.0
1045,7.872,-22.447,0.085,2204.0
1046,7.8765,-26.432,0.06,4003.0
1047,7.8774,-26.38,0.075,2856.0
1048,7.879,-26.275,0.06,4611.0
1049,7.876,-52.995,0.21,792.0
1050,7.8845,-28.175,0.21,1005.0
1051,7.8835,1.72,0.15,3112.0
1052,7.8927,5.7,0.155,1659.0
1053,7.8945,-22.323,0.13,2088.0
1054,7.8967,-26.965,0.1,3246.0
1055,7.9085,-38.22,0.09,3629.0
1056,7.919,-17.73,0.24,1363.0
1057,7.9178,-25.372,0.1,2589.0
1058,7.9195,-24.275,0.21,1344.0
1059,7.928,-27.905,0.115,1649.0
1060,7.928,-25.88,0.1,2291.0
1061,7.9375,-30.367,0.115,2910.0
1062,7.9385,-30.066,0.125,2255.0
1063,7.9608,-25.935,0.115,1964.0
1064,7.9605,-59.32,0.135,4055.0
1065,7.9631,-9.15,0.14,2569.0
1066,7.9653,-31.509,0.12,3628.0
1067,7.9667,-29.283,0.125,4499.0
1068,7.966,-60.75,0.71,373.0
1069,7.9714,26.25,0.07,22063.0
1070,7.9724,-34.772,0.07,10380.0
1071,7.9755,-66.63,0.135,2754.0
1072,7.9769,8.056,0.195,2362.0
1073,7.9815,-28.585,0.16,4666.0
1074,7.9817,7.95,0.11,2376.0
1075,7.9878,-27.583,0.13,1905.0
1076,7.988,-28.87,0.155,970.0
1077,7.9886,-22.69,0.145,1865.0
1078,7.991,-30.725,0.1,1649.0
1079,7.9917,-16.305,0.1,1888.0
1080,7.9958,-36.19,0.16,1884.0
1081,8.0,-10.76,0.27,3526.0
1082,8.0055,1.26,0.21,1508.0
1083,8.0063,-30.305,0.09,5326.0
1084,8.0045,-40.898,0.13,1951.0
1085,8.013,-19.05,0.185,1711.0
1086,8.0185,-27.213,0.105,2436.0
1087,8.0219,-40.675,0.19,1562.0
1088,8.0265,-34.46,0.11,1743.0
1089,8.032,-50.58,0.24,553.0
1090,8.0283,-41.583,0.125,5118.0
1091,8.0285,-30.71,0.12,4167.0
1092,8.029,-44.423,0.085,3160.0
1093,8.0365,-19.465,0.095,1467.0
1094,8.039,-31.07,0.195,2892.0
1095,8.04,-29.767,0.08,2273.0
1096,8.0465,-32.05,0.06,3033.0
1097,8.0537,-26.77,0.075,1748.0
1098,8.0585,-30.86,0.1,1834.0
1099,8.0598,-30.66,0.095,2534.0
1100,8.0595,-31.415,0.13,2860.0
1101,8.0693,-41.218,0.125,2434.0
1102,8.085,-28.17,0.34,642.0
1103,8.0845,-31.817,0.085,2311.0
1104,8.087,-31.97,0.13,1609.0
1105,8.1175,-30.835,0.29,871.0
1106,8.1185,-29.88,0.14,2955.0
1107,8.1179,-32.352,0.08,3259.0
1108,8.1193,-36.073,0.09,3254.0
1109,8.1375,-36.59,0.075,3022.0
1110,8.1652,-49.205,0.3,361.0
1111,8.1764,-34.6,0.11,2391.0
1112,8.178,-12.84,0.44,1232.0
1113,8.1795,-23.305,0.13,1941.0
1114,8.181,-50.985,0.1,2434.0
1115,8.1787,-26.94,0.17,1523.0
1116,8.1847,-39.965,0.11,3112.0
1117,8.1895,-31.945,0.085,5243.0
1118,8.1925,-51.02,0.09,2549.0
1119,8.195,-32.255,0.15,2361.0
1120,8.1975,-37.61,0.565,935.0
1121,8.2001,-29.0,0.095,3835.0
1122,8.204,-22.345,0.1,3558.0
1123,8.2075,-27.89,0.165,2796.0
1124,8.2095,-32.605,0.13,3640.0
1125,8.211,-40.485,0.305,429.0
1126,8.2161,-41.875,0.075,5838.0
1127,8.229,-5.77,0.72,789.0
1128,8.233,-36.334,0.32,414.0
1129,8.247,-31.945,0.13,2340.0
1130,8.253,-26.97,0.1,1764.0
1131,8.252,-4.075,0.155,1609.0
1132,8.2615,-30.829,0.115,2589.0
1133,8.2605,-35.64,0.1,3001.0
1134,8.266,-21.435,0.075,1935.0
1135,8.273,-48.47,0.19,899.0
1136,8.2825,-35.866,0.34,1768.0
1137,8.2994,-41.67,0.225,2754.0
1138,8.305,-37.1,0.075,5903.0
1139,8.3095,-30.65,0.17,1678.0
1140,8.3165,-47.8,0.115,7746.0
1141,8.3157,-29.735,0.19,1339.0
1142,8.3194,-35.65,0.1,1194.0
1143,8.3214,-45.208,0.085,1146.0
1144,8.3225,-34.495,0.1,4004.0
1145,8.326,-45.35,0.1,2720.0
1146,8.3455,-36.197,0.09,1221.0
1147,8.3585,-30.295,0.125,5067.0
1148,8.369,-36.405,0.14,1634.0
1149,8.382,-17.545,0.125,1711.0
1150,8.387,-32.97,0.14,2421.0
1151,8.389,-36.33,0.13,1477.0
1152,8.3905,-29.493,0.17,2701.0
1153,8.4034,-29.17,0.1,2187.0
1154,8.408,-41.305,0.115,2170.0
1155,8.4072,-47.2,0.12,5739.0
1156,8.4086,-39.905,0.13,1258.0
1157,8.4205,-34.159,0.07,6006.0
1158,8.424,-39.64,0.08,6020.0
1159,8.4462,-41.238,0.075,1963.0
1160,8.4522,-34.7,0.07,7617.0
1161,8.4682,-41.77,0.105,3112.0
1162,8.4728,-40.083,0.09,2397.0
1163,8.4922,-61.1,0.085,1481.0
1164,8.497,-19.12,0.16,2311.0
1165,8.52,-44.505,0.15,950.0
1166,8.521,-38.658,0.205,1418.0
1167,8.5272,-41.787,0.105,4269.0
1168,8.5298,-39.055,0.28,780.0
1169,8.5311,-36.197,0.11,2695.0
1170,8.5416,-41.995,0.07,3112.0
1171,8.5435,-19.683,0.12,2160.0
1172,8.544,-48.295,0.12,4829.0
1173,8.573,-43.86,0.2,912.0
1174,8.5775,-37.63,0.17,550.0
1175,8.578,-44.495,0.15,575.0
1176,8.591,-40.63,0.085,4350.0
1177,8.5965,-43.618,0.12,5202.0
1178,8.617,-40.385,0.115,2068.0
1179,8.617,-50.04,0.115,3330.0
1180,8.6175,-42.365,0.115,4178.0
1181,8.6213,-44.131,0.115,2644.0
1182,8.622,-29.945,0.165,2712.0
1183,8.618,-40.185,0.45,619.0
1184,8.6277,-39.58,0.135,702.0
1185,8.6273,-46.017,0.09,3371.0
1186,8.638,-42.35,0.117,3208.0
1187,8.6406,-34.775,0.145,3789.0
1188,8.651,-46.235,0.18,1668.0
1189,8.6515,-7.54,0.19,2839.0
1190,8.6545,-44.07,0.155,786.0
1191,8.6575,-47.357,0.165,1864.0
1192,8.658,-47.1,0.125,1659.0
1193,8.673,-44.725,0.12,3473.0
1194,8.673,19.69,3.1,187.0
1195,8.673,-46.133,0.07,2256.0
1196,8.671,-53.028,0.775,165.0
1197,8.6745,-38.055,0.125,3552.0
1198,8.6807,-25.375,0.173,2330.0
1199,8.6867,-38.707,0.155,4783.0
1200,8.6943,-46.267,0.115,1363.0
1201,8.696,-43.395,0.17,1342.0
1202,8.698,-79.045,0.42,112.0
1203,8.704,-40.733,0.07,4839.0
1204,8.71,-48.133,0.23,701.0
1205,8.7095,-44.985,0.12,1713.0
1206,8.711,-47.197,0.115,2817.0
1207,8.7165,-27.865,0.12,1831.0
1208,8.7155,-35.785,0.115,1811.0
1209,8.725,-32.665,0.23,3123.0
1210,8.7253,-31.716,0.075,3801.0
1211,8.7286,-37.7,0.075,3010.0
1212,8.7309,-40.225,0.12,1401.0
1213,8.736,-39.365,0.125,3308.0
1214,8.7432,-35.885,0.14,2181.0
1215,8.7413,-47.57,0.11,2010.0
1216,8.7448,-46.285,0.09,3886.0
1217,8.746,-45.98,0.19,6059.0
1218,8.7475,-41.233,0.22,881.0
1219,8.7505,-31.625,0.18,1393.0
1220,8.7595,-48.82,0.11,1294.0
1221,8.758,-45.402,0.17,1367.0
1222,8.7702,-41.867,0.185,1309.0
1223,8.7715,-47.685,0.115,1211.0
1224,8.7745,-52.94,0.275,1057.0
1225,8.7775,-43.884,0.065,2479.0
1226,8.7895,12.6,0.19,1659.0
1227,8.787,-52.065,0.125,3413.0
1228,8.7915,-42.4,0.39,417.0
1229,8.7943,-43.999,0.14,1249.0
1230,8.7975,-38.0,0.27,629.0
1231,8.8,-47.03,0.125,1876.0
1232,8.8075,-11.21,0.18,1298.0
1233,8.8225,-46.878,0.155,1300.0
1234,8.8281,-44.367,0.115,1239.0
1235,8.8395,-41.72,0.25,846.0
1236,8.844,-43.832,0.1,1829.0
1237,8.852,-48.477,0.085,2187.0
1238,8.8565,11.815,1.03,890.0
1239,8.86,-50.245,0.155,4269.0
1240,8.8645,-44.253,0.11,6737.0
1241,8.8675,-37.61,0.1,2242.0
1242,8.874,-37.555,0.125,2720.0
1243,8.8822,-44.185,0.1,1904.0
1244,8.8833,-35.467,0.095,2839.0
1245,8.8885,-47.92,0.115,2070.0
1246,8.8893,-14.785,0.18,5168.0
1247,8.9365,-39.51,0.14,3642.0
1248,8.937,-23.435,0.14,3047.0
1249,8.9515,-43.765,0.23,1296.0
1250,8.952,-43.285,0.125,737.0
1251,8.966,-47.695,0.18,1394.0
1252,8.9682,-42.6,0.085,1268.0
1253,8.9735,-46.303,0.115,1379.0
1254,9.0022,-52.711,0.11,1976.0
1255,9.009,-48.99,0.14,1458.0
1256,9.0194,-50.917,0.075,1621.0
1257,9.0439,-43.636,0.085,8835.0
1258,9.0467,-43.96,0.085,1186.0
1259,9.053,-47.817,0.065,1736.0
1260,9.0769,-41.126,0.105,1649.0
1261,9.0792,-46.035,0.115,1808.0
1262,9.09,-55.938,0.16,656.0
1263,9.096,-37.875,0.195,2889.0
1264,9.096,-26.34,0.12,2076.0
1265,9.1275,-47.825,0.17,1285.0
1266,9.125,-59.16,1.5,141.0
1267,9.1656,-25.48,0.11,1513.0
1268,9.17,-56.262,0.07,2398.0
1269,9.175,-53.89,0.143,978.0
1270,9.1885,-47.06,0.145,1063.0
1271,9.1965,-48.07,0.125,1005.0
1272,9.2009,-64.863,0.26,9612.0
1273,9.2028,-32.76,0.14,3508.0
1274,9.228,-77.425,0.15,1000.0
1275,9.197,-43.53,2.1,200.0
1276,9.2445,-49.745,0.1,1079.0
1277,9.2527,-47.465,0.12,1678.0
1278,9.2615,-29.675,0.11,2795.0
1279,9.2647,-50.01,0.077,4767.0
1280,9.27,-36.615,0.27,2054.0
1281,9.28,-47.945,0.13,748.0
1282,9.2789,-50.283,0.075,2153.0
1283,9.3015,-69.69,0.45,496.0
1284,9.3231,-40.517,0.085,4800.0
1285,9.3252,-38.132,0.115,1870.0
1286,9.3333,-45.11,0.115,2221.0
1287,9.3405,-60.395,0.1,6347.0
1288,9.3425,-52.827,0.08,6501.0
1289,9.3442,-49.217,0.105,4131.0
1290,9.3492,-77.282,0.1,8104.0
1291,9.35,-37.117,0.075,3074.0
1292,9.363,-45.76,0.115,2220.0
1293,9.3653,-56.317,0.085,4405.0
1294,9.3686,-51.1,0.1,2600.0
1295,9.3675,-51.966,0.1,1187.0
1296,9.403,-47.34,0.115,1966.0
1297,9.4045,-51.66,0.12,1332.0
1298,9.41,-44.67,0.11,3360.0
1299,9.4069,-53.136,0.06,1864.0
1300,9.4225,-54.725,0.08,5664.0
1301,9.428,-53.225,0.065,2792.0
1302,9.4455,-51.273,0.135,6501.0
1303,9.453,-55.123,0.14,4089.0
1304,9.461,-57.0,0.225,1138.0
1305,9.4665,-54.25,0.14,2200.0
1306,9.4795,-76.085,0.15,1561.0
1307,9.477,-46.6,0.09,2663.0
1308,9.484,-53.71,0.125,1706.0
1309,9.4975,-33.835,0.16,3860.0
1310,9.4964,-50.682,0.1,1847.0
1311,9.498,-52.78,0.1,1775.0
1312,9.508,-52.925,0.125,1882.0
1313,9.5165,-56.43,0.14,1380.0
1314,9.523,-53.035,0.09,2032.0
1315,9.531,-50.215,0.105,2269.0
1316,9.5395,-35.98,0.115,2210.0
1317,9.5545,-36.41,0.9,400.0
1318,9.5475,-28.848,0.26,1753.0
1319,9.5524,-53.371,0.27,774.0
1320,9.5544,-51.195,0.115,1211.0
1321,9.5598,-52.375,0.1,4635.0
1322,9.5655,-56.248,0.105,1445.0
1323,9.5792,-48.03,0.15,2558.0
1324,9.5786,-54.7,0.118,5984.0
1325,9.5855,-36.563,0.16,2343.0
1326,9.5911,-46.81,0.14,2919.0
1327,9.6317,-53.953,0.067,1380.0
1328,9.631,-31.615,0.17,3860.0
1329,9.636,-59.46,0.265,1786.0
1330,9.648,-52.935,0.125,3010.0
1331,9.6705,-50.325,0.11,1778.0
1332,9.6758,-50.58,0.095,1594.0
1333,9.682,-53.85,0.155,1991.0
1334,9.701,-44.02,0.11,2183.0
1335,9.7165,-52.117,0.09,2290.0
1336,9.727,-50.783,0.09,5246.0
1337,9.73,-56.565,0.052,9763.0
1338,9.7355,-53.325,0.17,10270.0
1339,9.7465,-54.435,0.18,1751.0
1340,9.7533,-44.1,0.115,3009.0
1341,9.7625,-53.968,0.085,2228.0
1342,9.7811,-64.632,0.11,3575.0
1343,9.7935,-37.055,0.115,1470.0
1344,9.8003,-55.067,0.1,2209.0
1345,9.8085,-56.425,0.125,1020.0
1346,9.81,-55.79,0.14,1685.0
1347,9.819,-65.24,0.18,1546.0
1348,9.822,-54.612,0.09,6020.0
1349,9.821,-62.67,0.14,1268.0
1350,9.843,-72.762,0.14,1537.0
1351,9.8543,-53.173,0.075,1949.0
1352,9.86,-56.31,0.075,1819.0
1353,9.9,-57.077,0.275,970.0
1354,9.912,-50.925,0.16,1464.0
1355,9.9095,-42.235,0.2,2662.0
1356,9.922,-56.615,0.14,1499.0
1357,9.9245,-28.965,0.205,2255.0
1358,9.939,-47.03,0.11,2187.0
1359,9.94,-50.27,0.115,4936.0
1360,9.944,-29.445,0.1,2255.0
1361,9.95,-54.818,0.105,6643.0
1362,9.9645,-54.625,0.095,1772.0
1363,9.9795,-30.908,0.1,3603.0
1364,9.9803,-67.739,0.11,1513.0
1365,9.989,-43.908,0.155,4104.0
1366,9.992,-54.51,0.1,1819.0
1367,9.99,-57.07,0.077,2817.0
1368,9.9985,-46.985,0.13,2234.0
1369,10.0,-57.555,0.12,2541.0
1370,10.012,-54.78,0.12,10301.0
1371,10.0225,-58.215,0.095,1282.0
1372,10.022,-57.705,0.06,1358.0
1373,10.028,-55.015,0.1,1286.0
1374,10.029,-59.455,0.085,7173.0
